time,day,ID_old,IO,antenna,ID,dep_time,g,density,a,b,c,int
230.6887847222222,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68881944444445,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68892361111108,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.68938657407406,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.68956018518517,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6901388888889,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69033564814814,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69040509259258,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6905671296296,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69087962962962,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6910069444444,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69109953703702,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69144675925924,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6917361111111,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69180555555556,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69185185185185,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69203703703704,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6921875,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6921875,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69233796296297,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6925347222222,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69256944444444,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69274305555555,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69329861111112,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69354166666668,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69363425925926,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69365740740741,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69379629629628,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6939699074074,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69402777777776,230,075131,In,3,2,227.42013888888889,720,2.65,142,61,51,0.2
230.69425925925924,230,075131,Out,3,2,227.42013888888889,720,2.65,142,61,51,0.2
230.69493055555554,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69509259259257,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69511574074073,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69516203703705,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.6954050925926,230,075131,In,10,2,227.42013888888889,720,2.65,142,61,51,0.2
230.6956365740741,230,075131,Out,10,2,227.42013888888889,720,2.65,142,61,51,0.2
230.6956712962963,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69609953703704,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69675925925924,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.69699074074072,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.697037037037,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69707175925925,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6973148148148,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.6975,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69769675925926,230,0756D2,In,13,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69774305555555,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69793981481482,230,0756D2,Out,13,1,227.41805555555555,568,2.73,103,66,60,0.2
230.69815972222221,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
